piece,passage_id,cohort,method,title_similarity
418,cmu1ovr7v007f04lddw35dnm8,workbook,position,1.0
419,cmu1ovr9h007g04ld8f9ilyp8,workbook,position,1.0
420,cmu1ovrbb007h04ldeq5v3hyj,workbook,position,1.0
421,cmu1ovrd4007i04ldhnqwbf08,workbook,position,0.9667
422,cmu1ovrev007j04ldv0y5kon9,workbook,position,1.0
423,cmu1ovrgm007k04ld4ide4ys9,workbook,position,0.9529
424,cmu1ovrik007l04ldee9413bm,workbook,position,1.0
425,cmu1ovrk6007m04ld4qz6rh6i,workbook,position,1.0
426,cmu1ovrm2007n04ld15nmvkkf,workbook,position,1.0
427,cmu1ovroh007o04ldqccaag5e,workbook,position,1.0
428,cmu1ovrq5007p04ld7nsysiu7,workbook,position,1.0
429,cmu1ovrrt007q04ldn954pzwh,workbook,position,1.0
430,cmu1ovrtk007r04ldelsvs3cj,workbook,position,0.9986
431,cmu1ovrv4007s04ldb6hmp75b,workbook,position,1.0
432,cmu1ovrxj007t04ldb66juzex,workbook,position,1.0
433,cmu1ovrzf007u04ldm1odycrl,workbook,position,1.0
434,cmu1ovs1c007v04ld34cuosiz,workbook,position,1.0
435,cmu1ovs34007w04ld3k3befmi,workbook,position,1.0
436,cmu1ovs66007x04ldyz9t62nr,workbook,position,1.0
437,cmu1ovs8h007y04ldf489mhu9,workbook,position,1.0
438,cmu1ovsc2007z04ldipdi30x6,workbook,position,0.9979
439,cmu1ovse6008004ld40v0yn7d,workbook,position,1.0
440,cmu1ovshy008104ld4fomrkdm,workbook,position,1.0
441,cmu1ovsju008204lddtqlp648,workbook,position,1.0
442,cmu1ovsmu008304ldp91xju9n,workbook,position,1.0
443,cmu1ovson008404ld2p794gkz,workbook,position,1.0
444,cmu1ovsql008504ldazu06fcr,workbook,position,1.0
445,cmu1ovss6008604ldcb0r02bk,workbook,position,1.0
446,cmu1ovsuj008704ldhhjmvqx5,workbook,position,1.0
447,cmu1ovsyi008804ldl29f7fz5,workbook,position,1.0
448,cmu1ovt27008904ldx5bdhug0,workbook,position,1.0
449,cmu1ovt53008a04ld9e6se096,workbook,position,1.0
450,cmu1ovt7a008b04ldx58oz20i,workbook,position,1.0
451,cmu1ovt99008c04ld71qttab0,workbook,position,1.0
452,cmu1ovtv3008d04ld2kpqtmvo,workbook,position,1.0
453,cmu1ovtxl008e04ldn6o5dgib,workbook,position,1.0
454,cmu1ovu09008f04ldwbo3rpok,workbook,position,1.0
455,cmu1ovu25008g04ldzhecg20t,workbook,position,0.9002
456,cmu1ovu4r008h04ldcrpup5wu,workbook,position,1.0
457,cmu1ovu7m008i04ldvcr99xc0,workbook,position,0.9432
