piece,passage_id,cohort,method,title_similarity
83,cmu6rkg0d002crs7gu6srczt5,catalogue,title,0.9388
84,cmu6rkg15002drs7gpxd67wtx,catalogue,title,0.9589
85,cmu6rkg1z002ers7gjszhymqk,catalogue,title,0.9845
86,cmu6rkg2r002frs7g81lbfrg9,catalogue,title,0.9664
87,cmu6rkg3j002grs7gwrpnqiba,catalogue,title,0.9615
88,cmu6rkg4c002hrs7gg8n9l9za,catalogue,title,0.9862
89,cmu6rkg54002irs7gunw588t2,catalogue,title,0.9412
90,cmu6rkg5x002jrs7gv6lu6svw,catalogue,title,0.9762
91,cmu6rkg6o002krs7g4mxmz1gl,catalogue,title,0.99
92,cmu6rkg8o002lrs7gnsyayiey,catalogue,title,1.0
93,cmu6rkg9i002mrs7g5vhrbegr,catalogue,title,0.9751
94,cmu6rkgab002nrs7gm259ng1k,catalogue,title,0.9872
95,cmu6rkgb6002ors7gmw4xvvmh,catalogue,title,0.9866
96,cmu6rkgby002prs7g1jlo90vv,catalogue,title,0.9846
97,cmu6rkgcq002qrs7gxcfi7oan,catalogue,title,1.0
98,cmu6rkgdh002rrs7gsmpe54e2,catalogue,title,1.0
99,cmu6rkge8002srs7g723ntv5y,catalogue,title,1.0
100,cmu6rkgf1002trs7g7ue8sz7j,catalogue,title,1.0
101,cmu6rkgfv002urs7gk0fgcf0q,catalogue,title,1.0
102,cmu6rkggm002vrs7gp8ywmpmk,catalogue,title,1.0
103,cmu6rkghf002wrs7g416jod6m,catalogue,title,1.0
104,cmu6rkgi7002xrs7glh2gz1mw,catalogue,title,1.0
105,cmu6rkgj1002yrs7gb67t0mbj,catalogue,title,1.0
106,cmu6rkgjx002zrs7gtnwmxhav,catalogue,title,1.0
107,cmu6rkgkq0030rs7g8wxkp0io,catalogue,title,1.0
108,cmu6rkgli0031rs7g9kjk75k2,catalogue,title,1.0
109,cmu6rkgmc0032rs7gw3g7htqh,catalogue,title,1.0
110,cmu6rkgn40033rs7gesrvt4l3,catalogue,title,1.0
111,cmu6rkgnx0034rs7gr2jgwlzy,catalogue,title,1.0
112,cmu6rkgot0035rs7g3hvfcgms,catalogue,title,1.0
113,cmu6rkgpn0036rs7gulpbfej3,catalogue,title,1.0
114,cmu6rkgqh0037rs7g4qx56fic,catalogue,title,1.0
115,cmu6rkgrc0038rs7gp6q8c0sx,catalogue,title,1.0
