page_id,livre,folio,family,provenance,stratum
book-11-p0169,11,169,A,,A
book-11-p0170,11,170,A,,A
book-11-p0175,11,175,A,,A
book-11-p0189,11,189,A,,A
book-11-p0198,11,198,A,,A
book-11-p0201,11,201,A,,A
book-11-p0206,11,206,A,,A
book-11-p0217,11,217,A,,A
book-11-p0219,11,219,A,,A
book-11-p0237,11,237,A,,A
book-11-p0249,11,249,A,,A
book-11-p0282,11,282,A,,A
book-11-p0285,11,285,A,,A
book-11-p0291,11,291,A,,A
book-11-p0308,11,308,A,,A
book-11-p0324,11,324,A,,A
book-12-p0014,12,14,A,,A
book-12-p0046,12,46,A,,A
book-12-p0072,12,72,A,,A
book-12-p0085,12,85,A,,A
book-12-p0168,12,168,A,,A
book-12-p0213,12,213,A,,A
book-12-p0223,12,223,A,,A
book-12-p0225,12,225,A,,A
book-12-p0242,12,242,A,,A
book-12-p0255,12,255,A,,A
book-12-p0256,12,256,A,,A
book-12-p0266,12,266,A,,A
book-12-p0304,12,304,A,,A
book-12-p0363,12,363,A,,A
book-12-p0370,12,370,A,,A
book-12-p0372,12,372,A,,A
book-12-p0376,12,376,A,,A
book-12-p0407,12,407,A,,A
book-12-p0421,12,421,A,,A
book-12-p0424,12,424,A,,A
book-12-p0478,12,478,A,,A
book-13-p0036,13,36,B,,B
book-13-p0111,13,111,B,,B
book-13-p0120,13,120,B,,B
book-13-p0230,13,230,B,,B
book-13-p0238,13,238,B,,B
book-13-p0432,13,432,B,,B
book-13-p0637,13,637,B,,B
book-13-p0649,13,649,B,,B
book-13-p0662,13,662,B,,B
book-13-p0668,13,668,B,,B
book-13-p0712,13,712,B,,B
book-13-p0727,13,727,B,,B
book-13-p0732,13,732,B,,B
book-14-p0031,14,31,B,,B
book-14-p0172,14,172,B,,B
book-14-p0195,14,195,B,,B
book-14-p0299,14,299,B,,B
book-14-p0421,14,421,B,,B
book-14-p0424,14,424,B,,B
book-14-p0426,14,426,B,,B
book-14-p0437,14,437,B,,B
book-14-p0515,14,515,B,,B
book-14-p0531,14,531,B,,B
book-14-p0541,14,541,B,,B
book-14-p0551,14,551,B,,B
book-14-p0554,14,554,B,,B
book-14-p0559,14,559,B,,B
book-14-p0568,14,568,B,,B
book-14-p0621,14,621,B,,B
book-14-p0669,14,669,B,,B
book-15-p0332,15,332,B,,B
book-15-p0366,15,366,B,,B
book-15-p0560,15,560,B,,B
book-15-p0563,15,563,B,,B
book-15-p0575,15,575,B,,B
book-16-p0022,16,22,B,,B
book-16-p0028,16,28,B,,B
book-16-p0078,16,78,B,,B
book-16-p0105,16,105,B,,B
book-16-p0187,16,187,B,,B
book-16-p0212,16,212,B,,B
book-16-p0267,16,267,B,,B
book-16-p0334,16,334,B,,B
book-16-p0358,16,358,B,,B
book-16-p0390,16,390,B,,B
book-16-p0471,16,471,B,,B
book-16-p0547,16,547,B,,B
book-17-p0017,17,17,B,,B
book-17-p0028,17,28,B,,B
book-17-p0059,17,59,B,,B
book-17-p0177,17,177,B,,B
book-17-p0215,17,215,B,,B
book-17-p0229,17,229,B,,B
book-17-p0305,17,305,B,,B
book-17-p0361,17,361,B,,B
book-17-p0462,17,462,B,,B
book-17-p0505,17,505,B,,B
book-17-p0520,17,520,B,,B
book-17-p0563,17,563,B,,B
book-17-p0592,17,592,B,,B
book-17-p0605,17,605,B,,B
book-17-p0627,17,627,B,,B
book-17-p0656,17,656,B,,B
book-17-p0732,17,732,B,,B
book-17-p0776,17,776,B,,B
book-17-p0826,17,826,B,,B
book-17-p0839,17,839,B,,B
book-18-p0069,18,69,B,,B
book-18-p0107,18,107,B,,B
book-18-p0118,18,118,B,,B
book-18-p0140,18,140,B,,B
book-18-p0175,18,175,B,,B
book-18-p0249,18,249,B,,B
book-18-p0312,18,312,B,,B
book-18-p0398,18,398,B,,B
book-18-p0457,18,457,B,,B
book-18-p0488,18,488,B,,B
book-18-p0514,18,514,B,,B
book-18-p0524,18,524,B,,B
book-18-p0537,18,537,B,,B
book-18-p0552,18,552,B,,B
book-18-p0621,18,621,B,,B
book-18-p0725,18,725,B,,B
book-18-p0727,18,727,B,,B
book-18-p0783,18,783,B,,B
book-18-p0787,18,787,B,,B
book-18-p0796,18,796,B,,B
book-18-p0804,18,804,B,,B
book-18-p0808,18,808,B,,B
book-18-p0827,18,827,B,,B
book-18-p0841,18,841,B,,B
book-18-p0848,18,848,B,,B
book-18-p0867,18,867,B,,B
book-18-p0947,18,947,B,,B
book-18-p0961,18,961,B,,B
book-18-p0964,18,964,B,,B
book-19-p0063,19,63,B,,B
book-19-p0222,19,222,B,,B
book-19-p0486,19,486,B,,B
book-19-p0521,19,521,B,,B
book-19-p0541,19,541,B,,B
book-19-p0810,19,810,B,,B
book-19-p0870,19,870,B,,B
book-20-p0001,20,1,B,,B
book-20-p0044,20,44,B,,B
book-20-p0089,20,89,B,,B
book-20-p0121,20,121,B,,B
book-20-p0221,20,221,B,,B
book-20-p0224,20,224,B,,B
book-20-p0240,20,240,B,,B
book-20-p0320,20,320,B,,B
book-20-p0366,20,366,B,,B
book-20-p0378,20,378,B,,B
book-20-p0391,20,391,B,,B
book-20-p0398,20,398,B,,B
book-20-p0470,20,470,B,,B
book-20-p0486,20,486,B,,B
book-20-p0489,20,489,B,,B
book-20-p0521,20,521,B,,B
book-20-p0540,20,540,B,,B
book-20-p0544,20,544,B,,B
book-20-p0616,20,616,B,,B
book-20-p0814,20,814,B,,B
book-20-p0903,20,903,B,,B
book-20-p1000,20,1000,B,,B
book-20-p1032,20,1032,B,,B
book-21-p0002,21,2,B,,B
book-21-p0131,21,131,B,,B
book-21-p0266,21,266,B,,B
book-21-p0379,21,379,B,,B
book-21-p0400,21,400,B,,B
book-21-p0421,21,421,B,,B
book-21-p0498,21,498,B,,B
book-21-p0511,21,511,B,,B
book-21-p0663,21,663,B,,B
book-21-p0698,21,698,B,,B
book-21-p0737,21,737,B,,B
book-21-p0793,21,793,B,,B
book-21-p0836,21,836,B,,B
book-22-p0001,22,1,B,,B
book-22-p0024,22,24,B,,B
book-22-p0116,22,116,B,,B
book-22-p0126,22,126,B,,B
book-22-p0265,22,265,B,,B
book-22-p0267,22,267,B,,B
book-22-p0282,22,282,B,,B
book-22-p0323,22,323,B,,B
book-22-p0340,22,340,B,,B
book-22-p0368,22,368,B,,B
book-22-p0424,22,424,B,,B
book-22-p0436,22,436,B,,B
book-22-p0452,22,452,B,,B
book-22-p0504,22,504,B,,B
book-22-p0613,22,613,B,,B
book-22-p0616,22,616,B,,B
book-22-p0643,22,643,B,,B
book-22-p0679,22,679,B,,B
book-22-p0704,22,704,B,,B
book-22-p0709,22,709,B,,B
book-23-p0135,23,135,B,,B
book-23-p0184,23,184,B,,B
book-23-p0187,23,187,B,,B
book-23-p0302,23,302,B,,B
book-23-p0310,23,310,B,,B
book-23-p0336,23,336,B,,B
book-23-p0353,23,353,B,,B
book-23-p0366,23,366,B,,B
book-23-p0376,23,376,B,,B
book-23-p0396,23,396,B,,B
book-23-p0435,23,435,B,,B
